date,channel,source,medium,campaign,clicks,conversions,conversion_value_sar,ad_spend_sar
2025-12-12,Paid Social,instagram,paid_social,Creator Offers,23,9,2046.14,117.72
2025-12-12,Paid Search,google,cpc,KSA Growth,18,4,764.16,72.18
2025-12-14,Paid Search,google,cpc,KSA Growth,27,9,2054.59,217.11
2025-12-14,Paid Social,instagram,paid_social,Creator Offers,16,9,1740.58,65.79
2025-12-16,Paid Search,google,cpc,KSA Growth,17,6,1386.43,119.84
2025-12-16,Paid Social,instagram,paid_social,Creator Offers,28,7,1485.22,211.71
2025-12-18,Paid Social,instagram,paid_social,Creator Offers,19,7,1500.48,122.27
2025-12-18,Paid Search,google,cpc,KSA Growth,26,8,1746.43,123.59
2025-12-20,Paid Search,google,cpc,KSA Growth,29,17,4256.54,191.05
2025-12-20,Paid Social,instagram,paid_social,Creator Offers,26,7,1586.11,220.01
2025-12-22,Paid Search,google,cpc,KSA Growth,25,6,1453.44,150.5
2025-12-22,Paid Social,instagram,paid_social,Creator Offers,18,6,1203.07,82.68
2025-12-24,Paid Social,instagram,paid_social,Creator Offers,28,12,2548.03,114.27
2025-12-24,Paid Search,google,cpc,KSA Growth,17,4,945.6,140.09
2025-12-26,Paid Search,google,cpc,KSA Growth,31,12,2368.8,245.45
2025-12-26,Paid Social,instagram,paid_social,Creator Offers,22,8,1443.17,141.39
2025-12-28,Paid Search,google,cpc,KSA Growth,13,5,1232.64,106.3
2025-12-28,Paid Social,instagram,paid_social,Creator Offers,15,4,879.65,72.79
2025-12-30,Paid Social,instagram,paid_social,Creator Offers,26,9,2009.38,149.55
2025-12-30,Paid Search,google,cpc,KSA Growth,26,12,2896.61,181.48
